stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
2251,32251,boul. Marie-Victorin et Marguerite-Bourgeoys,45.5986987655771,-73.4591922059938,,,2
2252,32252,boul. Marie-Victorin et Bachand nord,45.596872238094,-73.4600917930151,,,2
2253,32253,boul. Marie-Victorin et Fréchette,45.5896459597151,-73.4648430908989,,,2
2254,32254,boul. Marie-Victorin et De La Barre,45.5878816189225,-73.4669899151379,,,2
2255,32255,boul. Marie-Victorin et Arsène,45.5773894892408,-73.4771758390855,,,2
2257,32257,boul. Marie-Victorin et Guillerm,45.5747068714232,-73.480373705224,,,2
2258,32258,boul. Marie-Victorin et de l'Église,45.5718208020479,-73.4837567501771,,,2
2260,32260,boul. Marie-Victorin et Lalande,45.5667607007618,-73.4888712404006,,,2
2261,32261,boul. Marie-Victorin et Passerelle,45.5640964049489,-73.490796708316,,,2
2262,32262,boul. Marie-Victorin et Lapointe,45.5627665105341,-73.4916650240449,,,2
2264,32264,boul. Marie-Victorin et Fréchette,45.5896033095987,-73.4646244589012,,,2
2265,32265,boul. Marie-Victorin et Bachand nord,45.5967111051022,-73.4599020444539,,,2
2266,32266,boul. Marie-Victorin et Marguerite-Bourgeoys,45.5986042233068,-73.4590236336773,,,2
2267,32267,boul. Marie-Victorin et De La Broquerie,45.6002551906152,-73.4584239619566,,,2
2268,32268,boul. Marie-Victorin et Charlotte-Denys,45.6023739902541,-73.4576236057958,,,2
2269,32269,boul. Marie-Victorin et Desmarteau,45.6041104773326,-73.4571427692076,,,2
2270,32270,boul. Marie-Victorin et boul. De Montarville,45.6061618673388,-73.456572720538,,,2
2271,32271,boul. Marie-Victorin et des Seigneurs,45.6081909568822,-73.4565218768503,,,2
2272,32272,boul. Marie-Victorin et Pierre-Boucher,45.6100175784539,-73.4564543573978,,,2
2273,32273,boul. Marie-Victorin et De Montbrun,45.6136564349327,-73.4562365729037,,,2
2275,32275,boul. Marie-Victorin et Jacques-Racicot,45.6201402005271,-73.4553850052636,,,2
2276,32276,boul. Marie-Victorin et De Niverville,45.6179807118756,-73.4556175259674,,,2
2277,32277,boul. Marie-Victorin et François-Piedmont,45.6218003236312,-73.4552498428247,,,2
2278,32278,boul. Marie-Victorin et De Varennes nord,45.624130788388,-73.4550472111466,,,2
2279,32279,boul. Marie-Victorin et De Léry,45.6267444506744,-73.4542275493831,,,2
2280,32280,boul. Marie-Victorin et De Monts,45.6279905226223,-73.4537720508911,,,2
2281,32281,boul. Marie-Victorin et Charles-Guimond,45.6305276662327,-73.4528970273717,,,2
2282,32282,boul. Marie-Victorin et De Mésy,45.6328165337206,-73.4516823654665,,,2
2283,32283,boul. Marie-Victorin et Birtz,45.6352280907031,-73.4494365555464,,,2
2285,32285,D'Argenson et Le Gardeur,45.6340146822544,-73.4434298792015,,,2
2287,32287,boul. du Fort-Saint-Louis et De Mésy,45.6278310175915,-73.4433653445986,,,2
2288,32288,boul. du Fort-Saint-Louis et civique 810,45.6216639670413,-73.4469505052011,,,2
2289,32289,boul. du Fort-Saint-Louis et De Varennes sud,45.6184367682086,-73.4488731975871,,,2
2290,32290,boul. du Fort-Saint-Louis et Pierre-Bourgery,45.6172358418181,-73.4495586797765,,,2
2291,32291,boul. du Fort-Saint-Louis et De Lavaltrie,45.6124312406832,-73.4518570996264,,,2
2292,32292,boul. du Fort-Saint-Louis et civique 980,45.630231438536,-73.4420567393866,,,2
2293,32293,boul. du Fort-Saint-Louis et Jacques-Ménard,45.6080880055626,-73.4529879594498,,,2
2295,32295,boul. du Fort-Saint-Louis et Thomas-Pépin,45.5939559774563,-73.4558263195612,,,2
2296,32296,boul. du Fort-Saint-Louis et Tailhandier,45.591611304469,-73.4569392459746,,,2
2297,32297,boul. du Fort-Saint-Louis et civique 198,45.5896135433261,-73.4583172359911,,,2
2298,32298,boul. du Fort-Saint-Louis et Claude-Dauzat,45.5876456799918,-73.4601139579856,,,2
2300,32300,boul. du Fort-Saint-Louis et De La Barre,45.585129330903,-73.4624143828935,,,2
2301,32301,De La Barre et civique 50,45.586229035145,-73.4639371768524,,,2
2302,32302,boul. Industriel et UNIPRO,45.5851097936569,-73.4597795679507,,,2
2303,32303,boul. Industriel et De Vaudreuil,45.5836791993568,-73.4579375023731,,,2
2304,32304,boul. Industriel et De Lauzon,45.5802186003037,-73.4535141437853,,,2
2305,32305,boul. Industriel et Jules-Léger,45.5790209978518,-73.4519453042481,,,2
2306,32306,boul. Industriel et boul. de Mortagne,45.5787629319277,-73.4478584786405,,,2
2307,32307,boul. de Mortagne et de Parfondeval,45.5776725645489,-73.4468941639674,,,2
2312,32312,du Perche et de Brésolettes,45.574447532012,-73.4389508842496,,,2
2313,32313,du Perche et de Champs,45.577883039258,-73.4425280584547,,,2
2314,32314,du Perche et de Tourouvre,45.5801684217499,-73.4430360520485,,,2
2315,32315,du Perche et des Feings,45.5815501461552,-73.4433384926245,,,2
2316,32316,du Perche et boul. de Mortagne,45.5837462769335,-73.4457503101092,,,2
2317,32317,boul. de Mortagne et de Nogent,45.584925266805,-73.4444896944307,,,2
2318,32318,boul. de Mortagne et Marquis-De Tracy,45.5859178993174,-73.443393832357,,,2
2319,32319,boul. de Mortagne et Le Baron,45.5888013052909,-73.4402380672705,,,2
2320,32320,boul. de Mortagne et De La Salle,45.5893344366765,-73.4395207943136,,,2
2321,32321,De La Salle et Christophe-Février,45.5878835599152,-73.4384847838279,,,2
2322,32322,De La Salle et Émile-Nelligan,45.5864374798101,-73.4383167118809,,,2
2323,32323,De La Salle et civique 372,45.5849888820393,-73.4371736829557,,,2
2325,32325,De La Salle et D'Avaugour,45.5835590218298,-73.4346468752699,,,2
2328,32328,boul. De Montarville et ECOLE SECONDAIRE DE MORTAGNE,45.5929179909557,-73.4381979657376,,,1
2329,32329,boul. De Montarville et Félix-Leclerc,45.5940177811279,-73.4397777901251,,,2
2331,32331,Jacques-Cartier et Marsolais,45.5980911683009,-73.4386620077424,,,2
2332,32332,Jacques-Cartier et Charcot,45.5990253390465,-73.4369888035725,,,2
2333,32333,Jacques-Cartier et De Sérigny,45.5996405989319,-73.43635237784,,,2
